Dates,Hot Springs 1,Hot Springs 2,Little Rock 1,Little Rock 2,Little Rock 3,Little Rock 4,Little Rock 5,Little Rock 6,Little Rock 7,Little Rock 8,Little Rock 9,Little Rock 10,Little Rock 11,Little Rock 12,Searcy 1,Searcy 2,Fayetteville 1,Fayetteville 2,Fayetteville 3
7/31/18,152519,118857,75797,69900,69121,93370,122189,158719,177288,190443,190641,296048,280420,336935,70881,137041,213283,201516,226172
8/31/18,153299,119701,75808,70157,70387,93097,122239,159057,177107,190346,190598,295700,280710,336593,71341,137750,213988,202314,227300
9/30/18,153764,120171,76351,70595,71248,93291,122097,159912,177345,190296,190599,295708,280883,336042,71670,138352,214719,202890,228234
10/31/18,153940,120260,76494,70561,71245,93293,121997,160744,177465,190179,190860,296128,281404,335685,72094,139054,215876,203898,229624
11/30/18,154465,120699,76168,70790,71525,93113,121935,161942,177927,190626,191602,298258,282223,336280,72541,139838,217231,205357,231160
12/31/18,155178,121091,75618,71017,71977,92855,122204,162290,178285,191183,192446,300082,283644,337195,73350,141469,218568,206760,232848
1/31/19,156302,121916,75580,71408,72873,92982,122751,162590,178562,191601,193115,302453,285026,338122,73916,142570,219479,207650,234128
2/28/19,157060,122420,76013,71552,73065,93133,123445,162554,179156,191727,193566,303345,286499,338661,74127,142850,220062,207875,234725
3/31/19,157160,122452,76085,71780,73184,93061,123503,162423,179137,191394,193448,303330,286655,338184,73948,142389,220863,208876,235796
4/30/19,157093,122310,75970,72028,73313,92856,123715,162149,179317,190909,193353,301925,286342,337673,74019,142374,222232,210554,237327
5/31/19,157351,122366,75936,72249,73633,92829,123581,161871,178973,190592,193008,300408,285478,336679,74033,142341,223712,212240,238991
6/30/19,158061,122540,76545,72297,73613,93449,123866,161874,179339,190469,193021,299989,285190,336275,74266,142660,224812,213128,240066
7/31/19,158528,122765,77177,72162,73328,94187,124062,161802,179381,190060,192792,299643,284493,335464,74387,142838,225642,213501,240771
8/31/19,159213,123312,77514,72250,72997,94839,124381,162126,179927,190061,193125,300692,284771,336080,74092,142174,226377,213957,241262
9/30/19,160118,124166,77462,72332,72800,95208,124588,162230,180262,190060,193512,301547,285090,336936,73889,141541,227098,214498,241907
10/31/19,161110,125133,77606,72976,73261,95986,124780,162291,180797,190178,193789,302384,285256,337712,73709,140831,227647,214830,242253
11/30/19,161806,125741,78029,73492,73445,96672,124858,162159,181199,190161,193897,302024,285440,338084,73507,140000,227829,214506,242286
12/31/19,162347,126252,78454,74355,73738,97247,124787,162329,181813,190193,193897,301384,285216,337914,72935,138321,228159,214157,242405
1/31/20,163134,126854,78679,75124,73768,97737,124611,162577,182397,190350,193951,300589,285048,337705,72487,137024,228725,213985,242717
2/29/20,164485,128023,78858,76106,74577,98556,124476,163100,182941,190541,194172,300816,284712,337720,72360,136435,229374,214004,243144
3/31/20,166238,129745,79523,76895,75424,99905,124672,164072,183945,191343,194937,302595,285173,338871,72460,136386,229775,213482,243194
